Data_Hora;LBA10CP001;LBA10CP951A;LBA10CF001A;LBA10CF001B;LAB60CT002;LAB60CT003;LBA10CF901;JEA10CL901;LAB60CF901;LAB60CF001A;LAB60CF001B
27/07/2022 11:48;67.74866;67.86096;435.64273;436.89731;210.36981;210.68802;430.1642046;12.20527;1.60922711;1.61123;1.56974
27/07/2022 11:54;67.78338;67.93867;435.95261;436.84534;210.36981;210.66667;430.4980606;12.22953;1.430444911;1.55925;1.26828
27/07/2022 12:00;67.16717;67.30409;434.30005;435.59872;210.36981;210.68802;426.7801349;12.22517;1.036192505;1.50728;0.54088
27/07/2022 12:06;67.99168;68.10703;433.73203;435.54678;210.36981;210.68802;429.4525039;12.20838;1.836310126;1.76715;1.86271
27/07/2022 12:12;67.56641;67.71851;434.76486;436.27396;210.4126;210.68802;428.8289857;12.23699;1.671209204;1.50728;1.79628
27/07/2022 12:18;67.4015;67.52425;435.64273;436.53366;210.36981;210.68802;428.7300091;12.19843;1.54928474;1.55925;1.50323
27/07/2022 12:24;67.71395;67.83507;436.36572;437.57254;210.36981;210.68802;430.7420264;12.23264;2.107179544;1.61123;2.55414
27/07/2022 12:30;67.39283;67.5372;434.60992;435.85843;210.36981;210.68802;427.8983942;12.20838;1.326222891;1.55925;1.06226
27/07/2022 12:36;67.57509;67.69261;434.97141;436.3259;210.36981;210.68802;428.9245064;12.19283;1.438591084;1.50728;1.33638
27/07/2022 12:42;67.60113;67.71851;437.96658;439.1828;210.36981;210.68802;431.9011987;12.24632;1.501988462;1.50728;1.46171
27/07/2022 12:48;67.27132;67.42065;435.22961;436.5856;210.32701;210.64532;428.1244472;12.24881;1.741286692;1.40333;2.03866
27/07/2022 12:54;68.06111;68.18473;435.33289;436.68951;210.36981;210.68802;431.0784571;12.19843;1.666640454;1.55925;1.73523
27/07/2022 13:00;67.63584;67.77032;435.22961;436.48172;210.36981;210.68802;429.3823309;12.21771;1.300061144;1.29938;1.27046
27/07/2022 13:06;67.29736;67.4077;435.07468;436.42978;210.28421;210.55997;427.9956707;12.23326;2.049785835;1.55925;2.4924
27/07/2022 13:12;67.97432;68.10703;435.90094;436.7934;210.36981;210.68802;431.1077593;12.21646;1.94388827;1.55925;2.28332
27/07/2022 13:18;67.6098;67.73146;436.31406;437.46866;210.4126;210.7307;430.2832332;12.22891;1.637128715;1.4553;1.78094
27/07/2022 13:24;67.28867;67.42065;435.22961;436.22202;210.32701;210.64532;427.9774986;12.21895;1.79827113;1.55925;1.99536
27/07/2022 13:30;68.05244;68.18473;433.78366;435.28702;210.541;210.81606;429.603471;12.21398;1.484508094;1.35135;1.58337
27/07/2022 13:36;67.63584;67.74441;434.35172;435.85843;210.4126;210.7307;428.59541;12.23202;2.094733303;1.61123;2.52964
27/07/2022 13:42;67.34943;67.47245;434.97141;436.01425;210.36981;210.68802;427.9546088;12.21771;1.955113133;1.4553;2.40948
27/07/2022 13:48;67.76602;67.91277;436.6239;437.9881;210.4126;210.68802;431.3132452;12.20838;1.253128709;1.55925;0.9178
27/07/2022 13:54;67.85281;67.99047;435.69437;436.94925;210.4126;210.7307;430.6448894;12.21771;1.911673238;1.55925;2.21973
27/07/2022 14:00;67.51433;67.65376;436.21078;437.31284;210.36981;210.64532;429.837448;12.21709;1.64398514;1.55925;1.6904
27/07/2022 14:06;67.30603;67.4077;435.07468;435.85843;210.36981;210.64532;427.7307905;12.23948;1.742095227;1.61123;1.83236
27/07/2022 14:12;68.02639;68.14588;433.88693;435.33896;210.541;210.85875;429.5611363;12.22393;1.99867077;1.61123;2.34003
27/07/2022 14:18;67.61848;67.74441;435.43616;436.53366;210.4126;210.7307;429.4301819;12.2034;1.98954083;1.55925;2.37367
27/07/2022 14:24;67.32339;67.4854;433.8353;434.92343;210.32701;210.62399;426.8366536;12.21149;1.342972393;1.50728;1.14727
27/07/2022 14:30;68.13055;68.24948;435.43616;436.3259;210.32701;210.60265;431.1964619;12.19594;1.887754582;1.55925;2.1722
27/07/2022 14:36;67.66187;67.83507;433.8353;434.87149;210.36981;210.68802;428.0684269;12.21273;1.723735214;1.4553;1.95207
27/07/2022 14:42;67.42754;67.57606;444.78317;446.14325;210.79779;211.07217;438.0928414;12.20465;1.219855653;1.4553;0.95654
