Data_Hora,LBA10CP001,LBA10CP951A,LBA10CF001A,LBA10CF001B,LAB60CT002,LAB60CT003,LBA10CF901,JEA10CL901,LAB60CF901,LAB60CF001A
26/09/2018 00:20,66.28191,66.65656,536.49744,536.78479,217.64534,217.92293,0,12.2202,526.81927,526.81927
26/09/2018 00:21,66.25587,66.60476,537.78845,537.92755,217.64534,217.92293,0,12.22642,525.31201,525.31201
26/09/2018 00:21,66.26455,66.61771,537.01385,537.3042,217.66675,217.92293,0,12.2202,523.07709,523.07709
26/09/2018 00:21,66.25587,66.63066,536.49744,537.46002,217.64534,217.96564,0,12.21958,523.90869,523.90869
26/09/2018 00:21,66.29926,66.63066,537.11713,537.61584,217.64534,217.92293,0,12.22206,529.26208,529.26208
26/09/2018 00:21,66.30795,66.69541,536.65234,536.88867,217.64534,217.92293,0,12.2258,520.01056,520.01056
26/09/2018 00:21,66.21248,66.65656,538.66632,539.07025,217.64534,217.92293,0,12.22206,525.6239,525.6239
26/09/2018 00:22,66.29926,66.65656,539.64752,540.00525,217.64534,217.92293,0,12.21273,523.75275,523.75275
26/09/2018 00:22,66.29059,66.65656,537.47858,537.71973,217.64534,217.92293,0,12.2202,520.21844,520.21844
26/09/2018 00:22,66.2038,66.59181,536.80731,537.51196,217.64534,217.92293,0,12.21771,526.92328,526.92328
26/09/2018 00:22,66.18644,66.63066,538.76965,538.91443,217.66675,217.92293,0,12.21709,526.03967,526.03967
26/09/2018 00:22,66.25587,66.66951,535.56787,536.3692,217.66675,217.92293,0,12.22269,525.31201,525.31201
26/09/2018 00:22,66.30795,66.66951,533.50226,534.55115,217.64534,217.92293,0,12.21771,523.33698,523.33698
26/09/2018 00:23,66.27323,66.63066,536.80731,537.14838,217.66675,217.92293,0,12.22082,523.75275,523.75275
26/09/2018 00:23,66.33398,66.64362,536.03265,536.88867,217.64534,217.92293,0,12.22891,520.99805,520.99805
26/09/2018 00:23,66.24719,66.64362,536.70398,537.61584,217.66675,217.92293,0,12.22206,521.82965,521.82965
26/09/2018 00:23,66.3253,66.69541,535.4646,536.16144,217.66675,217.92293,0,12.21833,526.66339,526.66339
26/09/2018 00:23,66.3253,66.68246,538.25323,538.70667,217.66675,217.92293,0,12.22953,526.09161,526.09161
26/09/2018 00:23,66.22115,66.68246,537.27203,537.40808,217.66675,217.92293,0,12.22206,526.55939,526.55939
26/09/2018 00:24,66.27323,66.64362,534.63837,535.59003,217.66675,217.92293,0,12.21584,522.66132,522.66132
26/09/2018 00:24,66.28191,66.63066,536.49744,537.40808,217.64534,217.92293,0,12.21709,522.8172,522.8172
26/09/2018 00:24,66.25587,66.60476,540.37054,538.65472,217.66675,217.92293,0,12.22517,520.79016,520.79016
26/09/2018 00:24,66.22984,66.65656,535.15479,536.05756,217.66675,217.96564,0,12.21646,521.51782,521.51782
26/09/2018 00:24,66.25587,66.66951,536.80731,537.25226,217.64534,217.92293,0,12.21895,524.11658,524.11658
26/09/2018 00:24,66.26455,66.64362,537.42694,538.13531,217.66675,217.92293,0,12.21336,521.9856,521.9856
26/09/2018 00:25,66.21248,66.70837,536.75562,537.04449,217.64534,217.92293,0,12.21024,518.81512,518.81512
26/09/2018 00:25,66.27323,66.64362,534.5351,535.12256,217.64534,217.92293,0,12.2146,526.66339,526.66339
26/09/2018 00:25,66.24719,66.66951,534.69,535.74591,217.64534,217.92293,0,12.22082,527.44299,527.44299
26/09/2018 00:25,66.30795,66.63066,536.29089,536.68091,217.66675,217.92293,0,12.22144,528.95026,528.95026
26/09/2018 00:25,66.27323,66.63066,537.47858,538.18726,217.64534,217.96564,0,12.22455,522.55737,522.55737
26/09/2018 00:25,66.30795,66.64362,536.75562,536.88867,217.66675,217.96564,0,12.2202,519.3349,519.3349
26/09/2018 00:26,66.29926,66.61771,534.43176,534.96674,217.66675,217.96564,0,12.22393,528.53448,528.53448
26/09/2018 00:26,66.21248,66.65656,533.86377,534.81091,217.64534,217.92293,0,12.21211,526.76733,526.76733
26/09/2018 00:26,66.30795,66.61771,536.29089,536.57697,217.66675,217.92293,0,12.2258,523.96069,523.96069
26/09/2018 00:26,66.27323,66.65656,536.49744,537.09644,217.64534,217.92293,0,12.21833,524.42847,524.42847
26/09/2018 00:26,66.22984,66.66951,538.71796,539.17413,217.64534,217.96564,0,12.22206,519.12695,519.12695
26/09/2018 00:26,66.29059,66.64362,537.11713,537.51196,217.64534,217.92293,0,12.22393,521.30994,521.30994
26/09/2018 00:27,66.25587,66.63066,537.32367,537.82361,217.64534,217.96564,0,12.22206,519.2829,519.2829
26/09/2018 00:27,66.23851,66.61771,534.07031,535.27838,217.64534,217.96564,0,12.21149,522.8692,522.8692
26/09/2018 00:27,66.26455,66.64362,533.29572,534.49921,217.64534,217.96564,0,12.2146,525.05212,525.05212
26/09/2018 00:27,66.31662,66.63066,535.98102,536.83673,217.64534,217.92293,0,12.22331,529.26208,529.26208
26/09/2018 00:27,66.29059,66.60476,535.15479,536.05756,217.64534,217.96564,0,12.22517,528.53448,528.53448
26/09/2018 00:27,66.26455,66.64362,535.77448,536.68091,217.64534,217.92293,0,12.22206,520.73822,520.73822
26/09/2018 00:28,66.37737,66.63066,534.63837,535.79785,217.64534,217.92293,0,12.22082,523.44092,523.44092
26/09/2018 00:28,66.30795,66.61771,535.98102,537.20032,217.66675,217.92293,0,12.22953,522.14154,522.14154
26/09/2018 00:28,66.24719,66.64362,540.31891,540.68054,217.60255,217.88025,0,12.23886,527.18311,527.18311
26/09/2018 00:28,66.26455,66.65656,537.47858,537.5639,217.60255,217.88025,0,12.22953,526.61139,526.61139
26/09/2018 00:28,66.19512,66.61771,536.13599,536.47308,217.64534,217.88025,0,12.22828,522.66132,522.66132
26/09/2018 00:28,66.26455,66.66951,537.58191,537.97949,217.60255,217.88025,0,12.23264,519.85461,519.85461
26/09/2018 00:29,66.18644,66.65656,535.20642,536.00562,217.60255,217.88025,0,12.21833,522.60931,522.60931
26/09/2018 00:29,66.19512,66.61771,537.63354,537.92755,217.60255,217.88025,0,12.22642,520.99805,520.99805
26/09/2018 00:29,66.22984,66.63066,536.23926,536.94061,217.60255,217.88025,0,12.21958,522.14154,522.14154
26/09/2018 00:29,66.23851,66.65656,538.45978,539.01831,217.60255,217.88025,0,12.22517,520.27045,520.27045
26/09/2018 00:29,66.21248,66.64362,533.39899,534.34338,217.62395,217.88025,0,12.22082,524.32446,524.32446
26/09/2018 00:29,66.31662,66.61771,535.77448,536.73285,217.66675,217.88025,0,12.22517,526.50745,526.50745
26/09/2018 00:30,66.22115,66.59181,535.25806,536.1095,217.62395,217.92293,0,12.22455,523.5968,523.5968
26/09/2018 00:30,66.23851,66.60476,534.5351,535.69397,217.60255,217.92293,0,12.22517,530.66541,530.66541
26/09/2018 00:30,66.28191,66.63066,534.63837,535.48615,217.62395,217.92293,0,12.22953,522.92114,522.92114
26/09/2018 00:30,66.23851,66.65656,536.65234,537.3042,217.62395,217.92293,0,12.22766,519.69873,519.69873
26/09/2018 00:30,66.22984,66.61771,536.13599,536.62891,217.60255,217.92293,0,12.22206,526.97522,526.97522
26/09/2018 00:30,66.21248,66.61771,534.79327,536.00562,217.62395,217.92293,0,12.23388,525.88373,525.88373
26/09/2018 00:31,66.31662,66.63066,535.61957,536.42114,217.66675,217.92293,0,12.22144,524.48041,524.48041
26/09/2018 00:31,66.24719,66.60476,535.4646,536.16144,217.64534,217.92293,0,12.22082,524.89618,524.89618
26/09/2018 00:31,66.2038,66.64362,537.47858,538.03143,217.64534,217.92293,0,12.23139,526.24756,526.24756
26/09/2018 00:31,66.33398,66.64362,537.16876,537.77167,217.64534,217.92293,0,12.23202,527.44299,527.44299
26/09/2018 00:31,66.27323,66.63066,535.15479,536.31726,217.66675,217.88025,0,12.23264,531.44507,531.44507
26/09/2018 00:31,66.27323,66.63066,538.71796,539.22607,217.66675,217.92293,0,12.23699,520.94611,520.94611
26/09/2018 00:32,66.30795,66.65656,534.84497,535.27838,217.64534,217.92293,0,12.23264,518.39935,518.39935
26/09/2018 00:32,66.22115,66.61771,537.84009,538.34308,217.64534,217.92293,0,12.23699,524.53241,524.53241
26/09/2018 00:32,66.22984,66.60476,535.77448,536.68091,217.66675,217.88025,0,12.23824,523.33698,523.33698
26/09/2018 00:32,66.27323,66.61771,536.80731,537.87561,217.62395,217.92293,0,12.23824,520.84216,520.84216
26/09/2018 00:32,66.21248,66.61771,535.51624,536.26532,217.62395,217.88025,0,12.23326,527.33905,527.33905
26/09/2018 00:32,66.21248,66.61771,537.84009,538.18726,217.62395,217.88025,0,12.23637,518.39935,518.39935
26/09/2018 00:33,66.30795,66.57886,536.49744,537.35614,217.62395,217.88025,0,12.24321,523.85675,523.85675
26/09/2018 00:33,66.23851,66.63066,537.11713,538.08337,217.62395,217.88025,0,12.23886,522.14154,522.14154
26/09/2018 00:33,66.15172,66.63066,536.23926,536.78479,217.60255,217.88025,0,12.23762,522.0376,522.0376
26/09/2018 00:33,66.23851,66.64362,537.58191,538.08337,217.60255,217.88025,0,12.24446,523.12909,523.12909
26/09/2018 00:33,66.3687,66.65656,536.60071,537.09644,217.60255,217.88025,0,12.23762,522.40137,522.40137
26/09/2018 00:33,66.27323,66.60476,533.19238,535.84979,217.62395,217.92293,0,12.24073,523.07709,523.07709
26/09/2018 00:34,66.25587,66.64362,536.70398,537.46002,217.64534,217.92293,0,12.24943,522.08954,522.08954
26/09/2018 00:34,66.30795,66.65656,535.10315,536.00562,217.66675,217.92293,0,12.23886,518.5033,518.5033
26/09/2018 00:34,66.26455,66.63066,538.14996,538.03143,217.64534,217.92293,0,12.24446,523.28497,523.28497
26/09/2018 00:34,66.27323,66.64362,537.06549,537.66779,217.64534,217.96564,0,12.24197,527.02722,527.02722
